Año,Mes,Aeropuerto,Infraestructura,NPI,NPN,TUUAN_VER,TUUAN,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,Entidad_Infraestructura
2022,Marzo,Chachapoyas,ADP,0,1066,Si,2159,No,0,Si,360.28,No,0,No,0,No,0,Si,180.9,No,0,No,0,Si,3.4,No,0,Si,80.47,Aeropuertos del Perú S.A.
2022,Marzo,Chiclayo,ADP,1666,41257,Si,90674.98,Si,11015.2,Si,20270.85,No,0,Si,2814.58,Si,5695.64,Si,195.49,Si,1364.14,No,0,Si,51.3,No,0,Si,965755.43,Aeropuertos del Perú S.A.
2022,Marzo,Cusco,COR,22,182751,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Huánuco,COR,0,14854,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Huaraz-Anta,ADP,0,16,Si,34,No,0,Si,5.96,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,7.29,Aeropuertos del Perú S.A.
2022,Marzo,Ilo,COR,0,1524,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Iquitos,ADP,22,81851,Si,224249.58,Si,43.83,Si,86755.05,No,0,No,0,Si,9708.09,Si,1318.2,Si,39585.91,No,0,Si,2277.42,No,0,Si,10654.67,Aeropuertos del Perú S.A.
2022,Marzo,Jaén,COR,0,18300,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Jauja,COR,0,16004,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Juliaca,AAP,0,44685,Si,102406.15,No,0,Si,18735.88,No,0,Si,1649.6799999999998,Si,3162.42,Si,452.8,No,0,Si,1578.22,Si,444.53,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Lima,AAP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Lima,ADP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,640685.66,Si,795398.37,Aeropuertos del Perú S.A.
2022,Marzo,Lima,LAP,466072,864774,Si,4021575.9,Si,6167690.859999999,Si,2109761.8699999996,No,0,No,0,No,0,No,0,No,0,No,0,Si,244739.84,No,0,No,0,Lima Airport Partners S.R.L.
2022,Marzo,Mazamari,COR,0,695,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Nazca,COR,0,6238,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,No precisa,COR,0,0,Si,424698.79,Si,1100,Si,125643.89,No,0,Si,1594.92,Si,4674.95,Si,1338.37,Si,7238.929999999999,Si,143743.57,Si,2034.49,No,0,No,0,CORPAC S.A.
2022,Marzo,Pisco,ADP,44,1022,Si,2076.48,Si,252.9,Si,3024.1,No,0,No,0,Si,211.1,No,0,Si,5251,No,0,Si,379.76,No,0,Si,1809.72,Aeropuertos del Perú S.A.
2022,Marzo,Piura,ADP,26,74914,Si,164008.97,Si,224.8,Si,65149.67,No,0,Si,6287.46,Si,8922.49,Si,166.39,Si,2771.65,Si,4999.5,Si,254.56,No,0,Si,11626,Aeropuertos del Perú S.A.
2022,Marzo,Pucallpa,ADP,0,52330,Si,116747.72,No,0,Si,28499.129999999997,No,0,Si,200.46,Si,3603.48,Si,889.69,Si,4770.98,No,0,Si,1172.56,No,0,Si,3056.88,Aeropuertos del Perú S.A.
2022,Marzo,Puerto Maldonado,AAP,0,21521,Si,46029.34,No,0,Si,7258,No,0,Si,1247.32,Si,2089.9,Si,679.2,No,0,Si,7284.1,Si,0.15000000000000002,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Rioja,COR,0,9,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Marzo,Tacna,AAP,0,28484,Si,64474.49,No,0,Si,11167.01,No,0,Si,3759.79,Si,2362.4500000000003,No,0,No,0,Si,6659.320000000001,Si,21.79,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Marzo,Talara,ADP,0,24702,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos del Perú S.A.
2022,Marzo,Tarapoto,ADP,0,64965,Si,146683.47999999998,No,0,Si,62942.619999999995,No,0,Si,2124.9100000000003,Si,5246.31,Si,1766.56,Si,3245.72,Si,15651.22,Si,885.97,No,0,Si,5618.29,Aeropuertos del Perú S.A.
2022,Marzo,Tingo María,COR,0,378,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
